domain,scraped_at,id,name,image,status,urgency,special_case,class,since,gender,age,birthday,race,sice,weight,chip,situation,location,health,description
darmur.org,2018-04-15 23:49:53.161540,435,bartolin,http://darmur.org/imas/animales/_435/a_4351468855694.jpg,en adopción,NO,NO,Perro,18-7-2016,Macho,2 años y 6 meses,10/2015,mix malinois,Grande,NA,NA,Refugio,Abarán (Murcia),NA,"el ultimo cachorron de una camada no deseada dejada en navidad en la puerta de la protectora dentro de una caja, es un perro grande jugueton como bnuen cachorro, no merece estan entre barrotes, ningun perro lo merece, demanda atencion todo el tiempo"
asokaelgrande.org,2018-04-15 23:49:54.115905,1441,Tilin (ahora Dina),http://asokaelgrande.org/imas/animales/_1441/a_14411268383746.jpg,perdido,NO,NO,perros,0-0-0,Hembra,NA,NA,Cruce de mastín,Grande,NA,941000011865946,NA,Alicante,NA,"Tilin (ahora Dina) es una hembra, castrada de casi año y medio. Es un poco timida al principio pero luego es cariñosa y muy buena. Se llevaba muy bien con todos los perros. Hablandola con suavidad y agachados seguro que se acerca a los descanocidos."
salvanos.es,2018-04-15 23:49:55.065534,707,Kitty,http://salvanos.es/imas/animales/_707/a_7071422965599.jpg,recuperado,NO,NO,Gato,3-2-2015,Hembra,4 años y 4 meses,11/2013,Europeo de pelo Corto,Mediano,NA,NA,NA,Cabezo de Torres (Murcia),NA,"El domingo me escapo por la ventana mi gata kitty,por la zona del auditorio en Cabezo de Torres."
darmur.org,2018-04-15 23:49:57.343365,436,dora y blanca,http://darmur.org/imas/animales/_436/a_4361468856092.jpg,en adopción,NO,NO,Perro,18-7-2016,Hembra,2 años y 5 meses,11/2015,mix pastoras,Grande,NA,NA,NA,Murcia (Murcia),NA,"dos hermanas pastoras de seis meses, se entregan esterilizadas vacunadas y con chip, fueron encontradas junto a la madre, la cual esta reservada en adopcion urgen sus adopciones definitivas, situacion delicada al estar acogidas mucho tiempo"
asokaelgrande.org,2018-04-15 23:49:58.188102,2580,David,http://asokaelgrande.org/imas/animales/_2580/a_25801306154967.jpg,perdido,NO,NO,Gato,6-6-2006,Macho,12 años y 10 meses,6/2005,Común,Mediano,NA,NA,NA,Altea (Alicante),Macho sin esterilizar. Cojea un poquito ya que tuvo un accidente y se le fracturó la cadera. Tiene una cicatriz en la cadera.,"David se perdió el 6 junio de 2006 en Altea, por la urbanización San Chuchin, cerca del cementerio."
darmur.org,2018-04-15 23:50:01.703131,210,Luna,http://darmur.org/imas/animales/_210/a_2101444830166.jpg,en adopción,SI,NO,Perro,14-10-2015,Hembra,3 años y 10 meses,5/2014,X dalmata,Mediano,NA,NA,Casa de acogida,Murcia (Murcia),NA,LUNA es una perrita que apareció en Molina de Segura. Es muy buena y cariñosa y se lleva muy bien con otros perros porque es muy juguetona. Pesa 20 kg y nació aproximadamente en Mayo de 2014.
salvanos.es,2018-04-15 23:50:02.054921,614,Yotta,http://salvanos.es/imas/animales/_614/a_6141428258653.jpg,recuperado,NO,NO,Perro,11-11-2014,Macho,5 años y 7 meses,9/2012,NA,Grande,35 Kg,si,NA,Churra (Murcia),Desparasitado interna y externamente. Vacunas al día. En perfecto estado de salud,"Yotta fue encontrado abandonado a punto de desfallecer, lo recogieron y cuidaron hasta su recuperación."
darmur.org,2018-04-15 23:50:05.954924,460,dogui,http://darmur.org/imas/animales/_460/a_4601476378344.jpg,en adopción,NO,NO,Perro,13-10-2016,Macho,2 años y 7 meses,9/2015,dogo argentino,Grande,NA,NA,Casa de acogida,Murcia (Murcia),NA,"precioso perro buenisimo y docil, aptos solo para personas responsables, se entrega vacunado esterilizado y con chip, busca hogar, estaba abandonado a su suerte"
salvanos.es,2018-04-15 23:50:09.989853,25,Valentino,http://salvanos.es/imas/animales/_25/a_251412155443.jpg,perdido,NO,NO,Gato,17-9-2014,Macho,6 años,4/2012,Persa,Grande,NA,981098104811001,NA,San Pedro de Pinatar (Murcia),NA,"¡¡¡Perdido el 17-09 en Canteras, cerca de la clínica Hobbycan!!!"
aspamasqueperros.org,2018-04-15 23:50:10.461812,191,Darwin,http://aspamasqueperros.org/imas/animales/_191/a_1911472687607.jpg,en adopción,NO,NO,Perro,0-0-0,Macho,7 años y 2 meses,1/2011,Mestizo pointer,Mediano,25 kls,NA,NA,Socuéllamos (Ciudad Real),NA,"Hermano de Erwin, es tan buenazo como él.Mimoso con las personas, busca una familia a la que darle todo su amor."
salvanos.es,2018-04-15 23:50:12.831889,517,Martín,http://salvanos.es/imas/animales/_517/a_5171411043907.jpg,encontrado,NO,NO,Perro,17-9-2014,Macho,3 años y 6 meses,9/2014,Cruce Mastín,Grande,NA,NA,NA,Cañada Hermosa (Murcia),NA,Éste perro apareció junto con nuestro perro Guapo cuando se nos perdió en una rambla cerca de Alcantarilla. Queremos ayudarlo a encontrar casa de acogida o un hogar definitivo.
protectorabaix.org,2018-04-15 23:50:14.444361,8,BIJOUX*,http://protectorabaix.org/imas/animales/_8/a_81381909577.jpg,en adopción,NO,NO,Perro,23-12-2012,Hembra,5 años y 11 meses,5/2012,Cruce Podenco y Braco,Grande,NA,PB-2012/287-G,NA,Elche (Alicante),Esterilizada,"Es una perra muy bonita, buena y cariñosa."
salvanos.es,2018-04-15 23:50:21.266377,460,Roi,http://salvanos.es/imas/animales/_460/a_4601408547084.jpg,perdido,NO,NO,Perro,16-8-2014,Macho,4 años y 2 meses,2/2014,Dobermann,Mediano,NA,NA,NA,Librilla (Murcia),escabiosis en tratamiento (Sarna),¡Perro robado!
saraprotectora.org,2018-04-15 23:50:22.397253,5497,Gala,http://saraprotectora.org/imas/animales/_5497/a_54971511960609.jpg,en adopción,NO,NO,Perro,31-7-2017,Hembra,1 año y 2 meses,1/2017,Mix Pastor,Mediano,NA,NA,NA,Haría (Lanzarote),NA,*Gala*.
salvanos.es,2018-04-15 23:50:25.577873,461,Nesko,http://salvanos.es/imas/animales/_461/a_4611408726911.jpg,recuperado,NO,NO,Perro,21-8-2014,Macho,4 años y 2 meses,1/2014,Cruce,Mediano,NA,NA,NA,Murcia (Murcia),NA,"¡¡Se busca!!! Perro perdido por la zona de la Merced. Color negro con una mancha en el pecho blanca, se llama Nesko y pesa unos 8kg. Llevaba un collar de cuero cuando se perdió."
saraprotectora.org,2018-04-15 23:50:26.475284,5516,Cachorro Bienvenida 2,http://saraprotectora.org/imas/animales/_5516/a_55161516713334.jpg,en adopción,NO,NO,Perro,5-8-2017,Macho,9 meses y 4 días,7/2017,Podenco,Grande,NA,NA,NA,Tahiche (Lanzarote),NA,*Cachorro Bienvenida 2*.
saraprotectora.org,2018-04-15 23:50:29.297944,5517,Cachorro Bienvenida 3,http://saraprotectora.org/imas/animales/_5517/a_55171518193004.jpg,en adopción,NO,NO,Perro,5-8-2017,Macho,9 meses y 4 días,7/2017,Podenco,Grande,NA,NA,NA,Tahiche (Lanzarote),NA,*Cachorro Bienvenida 3*.
salvanos.es,2018-04-15 23:50:29.900380,463,Perro,http://salvanos.es/imas/animales/_463/a_4631408921059.jpg,recuperado,NO,NO,Perro,24-8-2014,Macho,10 años y 7 meses,8/2007,NA,Pequeño,NA,NA,NA,Murcia (Murcia),NA,"Hemos encontrado éste perro perdido en el jardín de Floridablanca, Lleva un collar rojo con lunares blancos."
saraprotectora.org,2018-04-15 23:50:33.524341,5519,Cachorro Bienvenida 5,http://saraprotectora.org/imas/animales/_5519/a_55191522750559.jpg,en adopción,NO,NO,Perro,5-8-2017,Hembra,9 meses y 4 días,7/2017,Podenco,Grande,NA,NA,NA,Tahiche (Lanzarote),NA,*Cachorro Bienvenida 5*.
salvanos.es,2018-04-15 23:50:34.347559,507,Chica (Chica y Nico),http://salvanos.es/imas/animales/_507/a_5071410519689.jpg,recuperado,NO,NO,Perro,12-9-2014,Hembra,3 años y 11 meses,5/2014,Cruce de Pincher,Pequeño,"2,7 Kgs",NA,NA,Cartagena (Murcia),Tiene el rabo amputado.,"Se lleva bien con personas, perros y gatos."
saraprotectora.org,2018-04-15 23:50:37.318679,5524,Cachorro Bienvenida 10,http://saraprotectora.org/imas/animales/_5524/a_55241516713623.jpg,en adopción,NO,NO,Perro,5-8-2017,Macho,9 meses y 4 días,7/2017,Podenco,Grande,NA,NA,NA,Tahiche (Lanzarote),NA,*Cachorro Bienvenida 10*.
salvanos.es,2018-04-15 23:50:38.128913,514,Guapo,http://salvanos.es/imas/animales/_514/a_5141410719253.jpg,recuperado,NO,NO,Perro,14-9-2014,Macho,4 años y 7 meses,9/2013,Retriever,Grande,NA,Si,NA,Cañada Hermosa (Murcia),NA,"Actualización, Ahora Guapo ha sido encontrado"
protectorabaix.org,2018-04-15 23:50:43.342373,1641,coco,http://protectorabaix.org/imas/animales/_1641/a_16411513334805.jpg,perdido,NO,NO,Perro,29-7-2017,Hembra,NA,NA,mestiza,Mediano,NA,no,NA,Elche (Alicante),NA,NA
salvanos.es,2018-04-15 23:50:44.833928,393,Sira,http://salvanos.es/imas/animales/_393/a_3931405333893.jpg,perdido,NO,NO,Perro,14-7-2014,Hembra,17 años y 11 meses,5/2000,Cruce Husky,Grande,NA,si,NA,Molina De Segura (Murcia),NA,"18/03/15 Lamentablemente, Sira sigue sin aparecer, pero continuamos buscándola."
protectorabaix.org,2018-04-15 23:50:47.301531,1757,TINTA,http://protectorabaix.org/imas/animales/_1757/a_17571509392490.jpg,perdido,NO,NO,Perro,21-10-2017,Hembra,NA,NA,mestiza,Grande,NA,NA,NA,Castalla (Alicante),NA,"Por favor ayudarnos a difundir a Tinta, estaba en régimen de acogida para una posible adopción en Castalla (Alicante) y se ha perdido, lleva un collar martingale negro con unas letras, chapa identificativa con teléfonos y chip, está castrada. Se perdió el 21 de octubre de 2017, puede estar en cualquier parte. Ponerla en vuestras paginas por favor, OS ADJUNTO CARTEL."
salvanos.es,2018-04-15 23:50:47.848281,409,Nora,http://salvanos.es/imas/animales/_409/a_4091406327936.jpg,recuperado,NO,NO,Perro,26-7-2014,Hembra,14 años y 8 meses,7/2003,schnauzer,Mediano,10kg,Si,NA,La Manga (Murcia),NA,Recuperada por su dueño
protectorabaix.org,2018-04-15 23:50:51.348810,1814,AMERICAN STAFF,http://protectorabaix.org/imas/animales/_1814/a_18141513869557.jpg,perdido,NO,NO,Perro,21-12-2017,Hembra,5 años y 3 meses,1/2013,AMERICAN STANFORD,Grande,NA,NA,NA,Elche (Alicante),NA,Perdida el día 16/12/2017 en el pueblo de La Marina. Color gris azulado. Chip francés
salvanos.es,2018-04-15 23:50:52.321708,436,Goyu,http://salvanos.es/imas/animales/_436/a_4361407152760.jpg,perdido,NO,NO,Perro,4-8-2014,Macho,NA,NA,NA,Mediano,NA,NA,NA,Los Molinos Marfagones (Murcia),NA,PERRO PERDIDO
protectorabaix.org,2018-04-15 23:50:55.758040,1822,CONGUI,http://protectorabaix.org/imas/animales/_1822/a_18221514639092.jpg,recuperado,NO,NO,Perro,27-12-2017,Macho,8 años y 3 meses,1/2010,NA,Mediano,NA,NA,NA,NA,NA,Congui se perdió la noche del 27/12/2017 en la calle Camino los Magros. Es muy desconfiado.
salvanos.es,2018-04-15 23:50:56.813187,441,Nela,http://salvanos.es/imas/animales/_441/a_4411407695076.jpg,recuperado,NO,NO,Perro,8-8-2014,Hembra,17 años y 9 meses,7/2000,Cruce Pequines,Pequeño,5Kg,NA,NA,NA,NA,¡Recuperada por su dueño!
protectorabaix.org,2018-04-15 23:50:59.042639,1849,LOLA*,http://protectorabaix.org/imas/animales/_1849/a_18491516804821.jpg,perdido,NO,NO,Gato,24-1-2018,Hembra,1 año y 3 meses,1/2017,COMUN EUROPEO,Mediano,NA,NA,NA,SAN JUAN (Alicante),NA,Lola se ha perdido en San Juan. ¿La has visto?
salvanos.es,2018-04-15 23:51:00.372885,452,Lyly,http://salvanos.es/imas/animales/_452/a_4521408270714.jpg,recuperado,NO,NO,Perro,13-8-2014,Hembra,3 años y 7 meses,8/2014,Yorkshire,Pequeño,NA,941000014415121,NA,Molina de Segura (Murcia),NA,"AYUDAAAA.... PERDIDA / ROBADA en la calle San Francisco nº 90 de Molina de Segura-Murcia el día 13 de Agosto...hembra de nombre Lyly ,tiene chip nº 941000014415121...ese día llevaba arnés y correa de color morado, es muy cariñosa y tiene 2 años...por favor rogamos que quien la tenga se ponga en contacto con la dueña Pilar al teléfono 627158985... están desesperados buscándola, esta denunciada su desaparición en la policía"
asociacionhada.org.es,2018-04-15 23:51:06.940597,868,N 831,http://asociacionhada.org.es/imas/animales/_868/a_8681501593612.jpg,en adopción/IN ADOPTION,NO,NO,Perro,3-7-2017,Macho/Male,2 años y 10 meses,6/2015,mestizo Pitt,Mediano/MEDIUM SIZE,NA,NA,Perrera municipal,Huelva (Huelva),NA,NA
salvanos.es,2018-04-15 23:51:08.732617,195,Nut,http://salvanos.es/imas/animales/_195/a_1951401295416.jpg,perdido,NO,NO,Gato,28-10-2013,Hembra,3 años,3/2015,Europeo pelo Semilargo,Pequeño,NA,Si,NA,Lomas del Rame (Murcia),Esterilizada.,PERDIDA EL 28 OCTUBRE EN LAS LOMAS DEL RAME
asociacionhada.org.es,2018-04-15 23:51:10.931980,870,N 839,http://asociacionhada.org.es/imas/animales/_870/a_8701499104623.jpg,en adopción/IN ADOPTION,NO,NO,Perro,3-7-2017,Macho/Male,1 año y 11 meses,5/2016,MESTIZO,Pequeño/SMALL SIZE,NA,NA,Perrera municipal,Huelva (Huelva),NA,"Abandonado en perrera con su padre, madre y hermano"
salvanos.es,2018-04-15 23:51:13.001814,38,Luna,http://salvanos.es/imas/animales/_38/a_381398954274.jpg,recuperado,NO,NO,Perro,1-5-2014,Hembra,4 años y 5 meses,11/2013,Yorkshire,Pequeño,2kg,NA,NA,Murcia (Murcia),NA,"* FINAL FELIZ, LUNA SE HA REENCONTRADO CON SUS DUEÑOS"
asociacionhada.org.es,2018-04-15 23:51:14.441883,872,N 843,http://asociacionhada.org.es/imas/animales/_872/a_8721499104914.jpg,en adopción/IN ADOPTION,NO,NO,Perro,3-7-2017,Hembra/Female,2 años y 10 meses,6/2015,MESTIZA,Mediano/MEDIUM SIZE,NA,NA,Perrera municipal,Huelva (Huelva),NA,NA
salvanos.es,2018-04-15 23:51:16.967919,226,Trueno,http://salvanos.es/imas/animales/_226/a_2261402569706.jpg,recuperado,NO,NO,Perro,11-6-2014,Macho,6 años y 5 meses,11/2011,Pastor Aleman,Grande,NA,NA,NA,Murcia (Murcia),NA,ENCONTRADO
asociacionhada.org.es,2018-04-15 23:51:18.683508,878,N 870,http://asociacionhada.org.es/imas/animales/_878/a_8781499874735.jpg,en adopción/IN ADOPTION,SI,NO,Perro,12-7-2017,Macho/Male,2 años y 9 meses,7/2015,mestizo,Pequeño/SMALL SIZE,NA,NA,Perrera municipal,Huelva (Huelva),NA,"Rescatada de una casa medio abandonada nunto a otra perrita. Muy tranquilo,muy noble. Solo busca mimos y que le den amor. Ideal para familias"
salvanos.es,2018-04-15 23:51:19.994357,333,Berta,http://salvanos.es/imas/animales/_333/a_3331404151300.jpg,recuperado,NO,NO,Perro,30-6-2014,Hembra,13 años y 9 meses,6/2004,Mestiza,Pequeño,NA,Si,NA,San Pedro del Pinatar (Murcia),Edad Avanzada.,"RECUPERADA, VOLVIÓ ELLA SOLA A CASA, A LOS DOS DÍAS DE DESAPARECER."
asociacionhada.org.es,2018-04-15 23:51:21.976046,893,Nº 888,http://asociacionhada.org.es/imas/animales/_893/a_8931501592009.jpg,en adopción/IN ADOPTION,NO,NO,Perro,1-8-2017,Macho/Male,2 años y 11 meses,5/2015,MESTIZO,Mediano/MEDIUM SIZE,NA,NA,Perrera municipal,Huelva (Huelva),NA,"Muy sociable, bueno y cariñoso"
salvanos.es,2018-04-15 23:51:22.207119,399,Tobias,http://salvanos.es/imas/animales/_399/a_3991405518848.jpg,recuperado,NO,NO,Perro,12-7-2014,Macho,6 años y 3 meses,1/2012,Mestizo pequeño,Pequeño,7kg,Si,NA,Torreagüera (Murcia),NA,Se perdió el sábado 12/07/2014 en Torreagüera y puede estar por cualquier otro pueblo. lleva un collar con su nombre y el numero de teléfono. Si alquien lo ve no dude en llamar al 692 892 400. Lleva chip identificativo.
salvanos.es,2018-04-15 23:51:26.258386,185,Blanquito,http://salvanos.es/imas/animales/_185/a_1851401204352.jpg,perdido,NO,NO,Perro,24-5-2013,Macho,11 años y 11 meses,5/2006,NA,Mediano,NA,Sin chip,NA,Molina de Segura (Murcia),NA,Actualización:
salvanos.es,2018-04-15 23:51:30.563723,526,Goya,http://salvanos.es/imas/animales/_526/a_5261411598044.jpg,perdido,NO,NO,Perro,25-9-2014,Macho,6 años y 8 meses,8/2011,Braco Francés,Mediano,30kg,250269604323072,NA,Carmona (Sevilla),NA,POSIBLE ROBO
salvanos.es,2018-04-15 23:51:32.496602,534,Gena,http://salvanos.es/imas/animales/_534/a_5341411908890.jpg,perdido,NO,NO,Perro,28-9-2014,Hembra,6 años y 6 meses,9/2011,Braco Francés,Mediano,25 Kg,250269604374977,NA,NA,NA,POSIBLE ROBO
amicsdelsanimalsdelanoguera.org,2018-04-15 23:51:33.415370,497,Muffin,http://amicsdelsanimalsdelanoguera.org/imas/animales/_497/a_4971491253170.jpg,en adopción,NO,NO,Perro,3-3-2017,Macho,3 años y 11 meses,5/2014,cruce braco,Mediano,NA,NA,NA,La Noguera (Lleida),NA,"Muffin ha sido rescatado de las manos de un cazador. Lo tenía encerrado casi todo el dia porque decía que no le servía para cazar. Como que solo conocía las cuatro paredes de la habitación donde estaba, al llegar al refugio ha renacido, está super activo, con ganas siempre de jugar con otros perros y de tener contacto permanente con los cuidadores, a los que reclama atención constante."
amicsdelsanimalsdelanoguera.org,2018-04-15 23:51:36.088032,477,Valentina & Booggie (adopción conjunta),http://amicsdelsanimalsdelanoguera.org/imas/animales/_477/a_4771487884286.jpg,en adopción,NO,NO,Perro,23-2-2014,Hembra,9 años y 4 meses,11/2008,mestizo,Mediano,NA,NA,NA,La Noguera (Lleida),NA,"Valentina (01/03/2009) y Booggie (10/10/2011) son madre e hijo. Booggie ha nacido en el refugio. Sus hermanos fueron adoptados pero él no tuvo tanta suerte, y desde entonces están juntos. Se quieren mucho, ella lo protege y él no sabe estar sin ella. Son muy cariñosos, si le pones la cara dan besitos!, son muy tranquilos y muy obedientes. Son limpios para hacer sus necesidades y no ladran ni rompen cosas. Son muy tranquilotes, disfrutan tomando el sol. Es curioso como Valentina tiene todavía el instinto de cuidar de Booggie cuando le da los lametones para mantenerlo limpio"
salvanos.es,2018-04-15 23:51:36.922260,445,Tom,http://salvanos.es/imas/animales/_445/a_4451463686276.jpg,recuperado,NO,NO,Perro,5-5-2016,Macho,3 años y 5 meses,10/2014,cruce,Pequeño,5 kg,981098106279125,NA,La Manga (Murcia),"Sano, desparasitado",Después de 20 días ha aparecido
amicsdelsanimalsdelanoguera.org,2018-04-15 23:51:39.233242,475,Teuler,http://amicsdelsanimalsdelanoguera.org/imas/animales/_475/a_4751487459876.jpg,en adopción,NO,NO,Perro,2-6-2007,Macho,11 años,4/2007,tipo pastor,Mediano,NA,NA,NA,La Noguera (Lleida),NA,"Teuler es de los más veteranos del refugio. Ahora ya es un abuelete y necesita un hogar donde el frío y la humedad no le afecten. No ha tenido oportunidad de socializarse, así que le da miedo salir de su espacio, porque no conoce nada más. Es un perro independiente, que no necesitaría mucha atención. Seguro que se daría por satisfecho con un sitio calentito para dormir y comida húmeda para comer, ya que el pienso le cuesta un poquito. No es justo que lleve toda su vida en una jaula, necesita estímulos y ver que existe mundo detrás de sus 4 paredes"
salvanos.es,2018-04-15 23:51:41.022902,634,Perla,http://salvanos.es/imas/animales/_634/a_6341416833874.jpg,recuperado,NO,NO,Perro,23-11-2014,Hembra,5 años y 5 meses,10/2012,NA,Pequeño,5 Kg,NA,NA,Murcia Centro (Murcia),NA,25/11/14 Nos ha avisado de que ya se ha localizado al dueño.
amicsdelsanimalsdelanoguera.org,2018-04-15 23:51:43.087062,474,Jau,http://amicsdelsanimalsdelanoguera.org/imas/animales/_474/a_4741514809298.jpg,en adopción,NO,NO,Perro,1-7-2008,Macho,10 años,4/2008,mestizo,Mediano,NA,NA,NA,La Noguera (Lleida),NA,"Jau entró en el refugio con tan solo unos meses, y todavía sigue con nosotros. Es un viejo gruñón, pero mantiene la energía de cuando era joven, y sigue poniéndose contento cada vez que ve a los cuidadores. Le pierde la comida, es un glotón. Con una chuche o una buena lata de comida te lo harás tuyo para siempre. Se merece encontrar ya un hogar y un sofá calentito donde vivir su jubilación. Otro que con una sesión de peluquería ganaría muchísimo"
salvanos.es,2018-04-15 23:51:45.045843,566,Tico,http://salvanos.es/imas/animales/_566/a_5661413289249.jpg,perdido,NO,NO,Perro,12-10-2014,Macho,4 años y 5 meses,11/2013,Chihuahua,Pequeño,"2,5 kg",NA,NA,San Javier (Murcia),Al correr cojea un poco de la pata derecha trasera.,"25/11/14 Sin noticias de Tico. Seguimos esperando que aparezca sano y salvo. Si alguien lo ha encontrado por favor pónganse en contacto con nosotros. No nos olvidamos de él, porqué lo queremos y estamos sufriendo su ausencia."
amicsdelsanimalsdelanoguera.org,2018-04-15 23:51:47.043806,473,Jose,http://amicsdelsanimalsdelanoguera.org/imas/animales/_473/a_4731503744814.jpg,en adopción,NO,NO,Perro,24-2-2009,Macho,10 años y 3 meses,1/2008,cruce mastin,Grande,NA,NA,NA,La Noguera (Lleida),NA,"Jose es otro de nuestros invisibles. Entró en el refugio siendo un cachorro, así que se ha pasado toda su vida con nosotros. Es un perro tranquilo y muy bueno. A nosotros nos recuerda un oso de peluche. Es algo tímido al principio con las personas, ya que no ha tenido mucha oportunidad de relacionarse, pero enseguida que coja confianza vas a tener un amigo fiel para siempre."
salvanos.es,2018-04-15 23:51:50.844366,636,"""Loba"" se llama Jessy",http://salvanos.es/imas/animales/_636/a_6361417023674.jpg,recuperado,NO,NO,Perro,26-11-2014,Hembra,5 años y 6 meses,10/2012,Pastor Alemán,Grande,35Kg,NA,NA,Velez-Rubio (Murcia),NA,NA
salvanos.es,2018-04-15 23:51:54.700137,641,Rita,http://salvanos.es/imas/animales/_641/a_6411417878322.jpg,recuperado,NO,NO,Perro,6-12-2014,Hembra,7 años y 4 meses,12/2010,Mestizo pequeño,Pequeño,5 Kg,Si,NA,Murcia Centro (Murcia),NA,"Se busca perrita perdida el viernes 5 de diciembre en el barrio del Carmen. Se perdió sobre las 10 de la noche en el jardín al lado del colegio Felix Rodriguez de la Fuente, se asustó y empezó a correr hacia la zona del Infante."
gatsdelcarrer.org,2018-04-15 23:51:55.083797,371,Encontrado - Laguna,http://gatsdelcarrer.org/imas/animales/_371/a_3711511650672.jpg,encontrado,NO,NO,Gato,25-11-2017,Hembra,1 año y 6 meses,9/2016,Común europeo,Mediano,NA,NA,NA,Sant Vicenç dels Horts (Barcelona),NA,"Encontrada el día 9 en calle Laguna, de Sant Vicenç dels Horts. Ha estado ingresada hasta ahora, presenta fractura de la cadera y de las vértebras a nivel pelvis. Se está recuperando, aunque tiene incontinencia, posiblemente de por vida."
gatsdelcarrer.org,2018-04-15 23:51:59.420479,372,Encontrado - Molins,http://gatsdelcarrer.org/imas/animales/_372/a_3721511990486.jpg,encontrado,NO,NO,Gato,29-11-2017,Hembra,2 años y 1 mes,2/2016,Común europeo - negra,Mediano,NA,NA,NA,Molins de Rei (Barcelona),NA,"Encontrada en Molins de Rei, calle José sabalt papaseit, más información contactar con Maria José 651626346"
gatsdelcarrer.org,2018-04-15 23:52:03.560447,233,Sue & Pam,http://gatsdelcarrer.org/imas/animales/_233/a_2331519553062.jpg,en adopción,NO,NO,Gato,16-9-2017,Hembra,1 año,3/2017,Común europeo,Mediano,NA,NA,NA,Sant Vicenç dels Horts (Barcelona),NA,Sue y Pam fueron rescatadas juntas.
gatsdelcarrer.org,2018-04-15 23:52:06.983739,407,Paco,http://gatsdelcarrer.org/imas/animales/_407/a_4071520286275.jpg,en adopción,NO,NO,Gato,5-3-2018,Macho,3 años y 1 mes,3/2015,Común europeo - blanco y atigrado,Mediano,NA,NA,NA,Sant Vicenç dels Horts (Barcelona),NA,"Este gato se entrega vacunado, desparasitado (interna y externamente), con chip, cartilla felina, contrato adopción, ya castrado."
gatsdelcarrer.org,2018-04-15 23:52:10.348672,410,Bolita,http://gatsdelcarrer.org/imas/animales/_410/a_4101521758420.jpg,en adopción,NO,NO,Gato,22-3-2018,Hembra,2 años,3/2016,Persa,Mediano,NA,NA,NA,Sant Vicenç dels Horts (Barcelona),NA,"Un caso muy, muy especial, sólo para personas con un gran corazón y pasión por los gatos."
gatsdelcarrer.org,2018-04-15 23:52:14.720247,415,Misha,http://gatsdelcarrer.org/imas/animales/_415/a_4151523736576.jpg,en adopción,NO,NO,Gato,14-4-2018,Macho,1 año,4/2017,Comun europeo - atigrado,Mediano,NA,NA,NA,Sant Vicenç dels Horts (Barcelona),NA,"Hola me llamo Shiva y soy un joven macho de un año. Por problemas importants, mi familia ya no puede ocuparse de mi y busco a alguien que me quiera como ellos."
gatsdelcarrer.org,2018-04-15 23:52:19.077288,416,Misa,http://gatsdelcarrer.org/imas/animales/_416/a_4161523777858.jpg,en adopción,NO,NO,Gato,15-4-2018,Hembra,7 meses,9/2017,Común europeo - negra,Mediano,NA,NA,NA,Sant Vicenç dels Horts (Barcelona),NA,"Esta gata se entrega vacunada, desparasitada (interna y externamente), con chip, cartilla felina, contrato adopción y con compromiso de castración."
asokaelgrande.org,2018-04-15 23:52:19.302714,87,Gala,http://asokaelgrande.org/imas/animales/_87/gala.jpg,recuperado,NO,NO,perros,1-1-2008,Hembra,11 meses y 26 días,4/2017,NA,Grande,NA,NA,NA,Torrevieja,"Desparasitada, vacunada.",NA
gatsdelcarrer.org,2018-04-15 23:52:22.331862,383,Encontrado - Coruña,http://gatsdelcarrer.org/imas/animales/_383/a_3831513539003.jpg,encontrado,NO,NO,Perro,17-12-2017,Macho,2 años y 2 meses,2/2016,NA,Mediano,NA,NA,NA,Sant Vicenç dels Horts (Barcelona),NA,"Encontrado de nuestra sede en calle Corunya, 19"
asokaelgrande.org,2018-04-15 23:52:22.451399,86,Nebula,http://asokaelgrande.org/imas/animales/_86/nebula.jpg,perdido,NO,NO,perros,2-1-2008,Hembra,NA,NA,cruce,Mediano,NA,NA,NA,Alicante,NA,"Perdida el 2-1-2008 en Mutxamel, zona Calvari y Los Altos de la Huerta. Es"
asokaelgrande.org,2018-04-15 23:52:24.906490,236,COCA,http://asokaelgrande.org/imas/animales/_236/coca.jpg,perdido,NO,NO,perros,21-3-2008,Hembra,NA,NA,cruce,Grande,NA,NA,NA,Alicante,NA,Se llama COCA y tiene un año y medio. Se nos perdió por la zona de la Vía Verde de Agost el viernes 21 de marzo de 2008 (viernes Santo).
gatsdelcarrer.org,2018-04-15 23:52:25.882421,386,Perdido - Valentina,http://gatsdelcarrer.org/imas/animales/_386/a_3861514323837.jpg,perdido,NO,NO,Gato,26-12-2017,Hembra,1 año y 5 meses,10/2016,Siames,Mediano,NA,NA,NA,Sant Vicenç dels Horts (Barcelona),NA,Gata diabética.
salvanos.es,2018-04-15 23:52:27.876881,720,Bombón (Ahora Morgan),http://salvanos.es/imas/animales/_720/a_7201510334874.jpg,en adopción,NO,NO,Gato,12-2-2015,Macho,3 años y 9 meses,7/2014,Mezcla Bombay,Grande,NA,981098104559573,Casa de acogida,Murcia (Murcia),Vacunado. Chip y castrado,¡¡URGENTE CASA DE ACOGIDA O ADOPCIÓN!!
asokaelgrande.org,2018-04-15 23:52:29.267339,271,Dim,http://asokaelgrande.org/imas/animales/_271/dim.jpg,perdido,NO,NO,perros,1-4-2008,Macho,NA,NA,Cruce de maltés,Pequeño,NA,NA,NA,Alicante,"Es un poco cieguito, pero casi no se nota, se va con todo el mundo y es muy majo",Perdido por : C/ Alcolecha - Residencia Universitaria.
